geo_id,name,total_population
Geography,Geographic Area Name,Estimate!!Total
8600000US92101,ZCTA5 92101,41159
8600000US92102,ZCTA5 92102,44010
8600000US92103,ZCTA5 92103,34700
8600000US92104,ZCTA5 92104,45435
8600000US92105,ZCTA5 92105,73623
8600000US92106,ZCTA5 92106,20155
8600000US92107,ZCTA5 92107,31223
8600000US92108,ZCTA5 92108,22280
8600000US92109,ZCTA5 92109,47111
8600000US92110,ZCTA5 92110,30108
8600000US92111,ZCTA5 92111,50693
8600000US92113,ZCTA5 92113,58408
8600000US92114,ZCTA5 92114,68851
8600000US92115,ZCTA5 92115,64343
8600000US92116,ZCTA5 92116,33408
8600000US92117,ZCTA5 92117,56983
8600000US92118,ZCTA5 92118,22548
8600000US92119,ZCTA5 92119,24831
8600000US92120,ZCTA5 92120,30550
8600000US92121,ZCTA5 92121,4729
8600000US92122,ZCTA5 92122,48071
8600000US92123,ZCTA5 92123,32473
8600000US92124,ZCTA5 92124,32600
8600000US92126,ZCTA5 92126,82658
8600000US92127,ZCTA5 92127,49935
8600000US92128,ZCTA5 92128,51357
8600000US92129,ZCTA5 92129,54762
8600000US92130,ZCTA5 92130,56134
8600000US92131,ZCTA5 92131,34727
8600000US92139,ZCTA5 92139,36105
8600000US92154,ZCTA5 92154,88979
8600000US92173,ZCTA5 92173,31000
