geo_id,name,total_population,male_population,female_population
Geography,Geographic Area Name,Estimate!!SEX AND AGE!!Total population,Estimate!!SEX AND AGE!!Total population!!Male,Estimate!!SEX AND AGE!!Total population!!Female
8600000US92101,ZCTA5 92101,41159,23061,18098
8600000US92102,ZCTA5 92102,44010,22740,21270
8600000US92103,ZCTA5 92103,34700,16817,17883
8600000US92104,ZCTA5 92104,45435,22682,22753
8600000US92105,ZCTA5 92105,73623,36964,36659
8600000US92106,ZCTA5 92106,20155,10218,9937
8600000US92107,ZCTA5 92107,31223,15760,15463
8600000US92108,ZCTA5 92108,22280,11108,11172
8600000US92109,ZCTA5 92109,47111,24946,22165
8600000US92110,ZCTA5 92110,30108,14603,15505
8600000US92111,ZCTA5 92111,50693,26458,24235
8600000US92113,ZCTA5 92113,58408,30923,27485
8600000US92114,ZCTA5 92114,68851,34488,34363
8600000US92115,ZCTA5 92115,64343,31593,32750
8600000US92116,ZCTA5 92116,33408,16855,16553
8600000US92117,ZCTA5 92117,56983,29065,27918
8600000US92118,ZCTA5 92118,22548,11760,10788
8600000US92119,ZCTA5 92119,24831,11785,13046
8600000US92120,ZCTA5 92120,30550,15847,14703
8600000US92121,ZCTA5 92121,4729,2554,2175
8600000US92122,ZCTA5 92122,48071,24603,23468
8600000US92123,ZCTA5 92123,32473,16965,15508
8600000US92124,ZCTA5 92124,32600,15917,16683
8600000US92126,ZCTA5 92126,82658,42442,40216
8600000US92127,ZCTA5 92127,49935,24398,25537
8600000US92128,ZCTA5 92128,51357,24364,26993
8600000US92129,ZCTA5 92129,54762,26676,28086
8600000US92130,ZCTA5 92130,56134,27482,28652
8600000US92131,ZCTA5 92131,34727,17011,17716
8600000US92139,ZCTA5 92139,36105,17465,18640
8600000US92154,ZCTA5 92154,88979,45922,43057
8600000US92173,ZCTA5 92173,31000,14779,16221
