"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"8600000US92101","ZCTA5 92101","41159","1462",
"8600000US92102","ZCTA5 92102","44010","1702",
"8600000US92103","ZCTA5 92103","34700","1226",
"8600000US92104","ZCTA5 92104","45435","1751",
"8600000US92105","ZCTA5 92105","73623","2278",
"8600000US92106","ZCTA5 92106","20155","996",
"8600000US92107","ZCTA5 92107","31223","1245",
"8600000US92108","ZCTA5 92108","22280","1636",
"8600000US92109","ZCTA5 92109","47111","1493",
"8600000US92110","ZCTA5 92110","30108","1126",
"8600000US92111","ZCTA5 92111","50693","1690",
"8600000US92113","ZCTA5 92113","58408","1864",
"8600000US92114","ZCTA5 92114","68851","1846",
"8600000US92115","ZCTA5 92115","64343","2328",
"8600000US92116","ZCTA5 92116","33408","1258",
"8600000US92117","ZCTA5 92117","56983","1789",
"8600000US92118","ZCTA5 92118","22548","255",
"8600000US92119","ZCTA5 92119","24831","814",
"8600000US92120","ZCTA5 92120","30550","1218",
"8600000US92121","ZCTA5 92121","4729","323",
"8600000US92122","ZCTA5 92122","48071","1643",
"8600000US92123","ZCTA5 92123","32473","1312",
"8600000US92124","ZCTA5 92124","32600","961",
"8600000US92126","ZCTA5 92126","82658","1611",
"8600000US92127","ZCTA5 92127","49935","1447",
"8600000US92128","ZCTA5 92128","51357","1176",
"8600000US92129","ZCTA5 92129","54762","1090",
"8600000US92130","ZCTA5 92130","56134","1554",
"8600000US92131","ZCTA5 92131","34727","926",
"8600000US92139","ZCTA5 92139","36105","1261",
"8600000US92154","ZCTA5 92154","88979","2331",
"8600000US92173","ZCTA5 92173","31000","1364",
